product_id,code
252177965,404
202719601,404
154530131,404
215162868,404
214841295,404
253041020,404
251921456,404
260640691,404
197329296,404
93830430,404
257925319,404
248884068,404
37961414,404
139222915,404
149655340,404
138771951,404
149688054,404
252279274,404
45832109,404
202957538,404
140331433,404
253193479,404
262483955,404
262482056,404
252887336,404
162217485,404
202785989,404
196175015,404
199108529,404
94674261,404
254124238,404
6528635,404
263655215,404
263047165,404
261839476,404
261798479,404
204065025,404
203960914,404
2386945,404
203960841,404
127537280,404
204064868,404
204658727,404
204064908,404
190824033,404
127531945,404
55886475,404
193767656,404
108358268,404
115196180,404
104908913,404
204411026,404
107219238,404
113887120,404
204411091,404
115667335,404
100319951,404
225210590,404
107195032,404
225210603,404
108055389,404
40184664,404
242502865,404
251550541,404
228988486,404
127113936,404
197856197,404
127097023,404
242075879,404
251265495,404
247666472,404
251536700,404
248644380,404
204411099,404
251265358,404
251265271,404
247249283,404
228987720,404
248353725,404
251536737,404
197366896,404
251265500,404
251265414,404
251265341,404
251267028,404
251265476,404
251536998,404
247247956,404
251267048,404
251265507,404
251265281,404
127528127,404
251265309,404
251265412,404
251265261,404
251536661,404
262818198,404
251536679,404
127114141,404
247238593,404
248638676,404
251536925,404
251262923,404
251265401,404
251265307,404
251265337,404
247238807,404
251536707,404
251536952,404
251537022,404
251267032,404
251536923,404
228989781,404
225209672,404
242504261,404
107278644,404
115677940,404
201121651,404
262787489,404
107975641,404
203960672,404
242200601,404
108324598,404
217332235,404
203958134,404
171104261,404
220741858,404
195940874,404
248215260,404
199144320,404
212251398,404
183034117,404
209378834,404
207749479,404
203999095,404
206781406,404
212479761,404
210757803,404
192259825,404
215129611,404
226562217,404
210761027,404
205113157,404
203999080,404
212252157,404
212211925,404
203982877,404
209908633,404
215738858,404
205298840,404
212251743,404
239142056,404
208748014,404
176508941,404
215129265,404
215129312,404
207285065,404
212251999,404
114572662,404
210132074,404
207256868,404
215129353,404
262346337,404
206781402,404
251772966,404
215129445,404
206713368,404
212479704,404
215129295,404
215129477,404
215129541,404
206553948,404
212251981,404
198817566,404
215129534,404
207397535,404
215129516,404
207281745,404
215129627,404
206147748,404
175150254,404
201610324,404
204437685,404
206987457,404
215129641,404
225249714,404
205829661,404
203998915,404
212211917,404
205829900,404
215129592,404
206984985,404
207271258,404
207289508,404
243245471,404
175150267,404
237819237,404
201610378,404
209377538,404
136699272,404
215129358,404
202784251,404
202784158,404
207268453,404
207194970,404
212479746,404
215129303,404
204430928,404
205115266,404
205116826,404
210758473,404
212479743,404
204429541,404
206987459,404
114572377,404
205829906,404
215129375,404
206781415,404
206914169,404
203960964,404
209908200,404
216935800,404
205297523,404
215723322,404
205829904,404
206553980,404
207876075,404
260807619,404
260807322,404
165015382,404
202784240,404
212251749,404
203999042,404
215129650,404
215129617,404
262830165,404
208748025,404
215129479,404
215129351,404
207997494,404
248113986,404
202784229,404
222655805,404
200935495,404
204064846,404
204064755,404
206553941,404
